Sentences,Final POS Tags
"The students were excited about the upcoming field trip to the science museum, where they would see dinosaur fossils.","{'The': 'DET', 'students': 'NOUN', 'were': 'VERB', 'excited': 'ADJ', 'about': 'ADP', 'the': 'DET', 'upcoming': 'ADJ', 'field': 'NOUN', 'trip': 'NOUN', 'to': 'ADP', 'science': 'NOUN', 'museum': 'NOUN', ',': '.', 'where': 'ADV', 'they': 'PRON', 'would': 'VERB', 'see': 'VERB', 'dinosaur': 'NOUN', 'fossils': 'NOUN', '.': '.'}"
She drinks coffee every morning.,"{'She': 'PRON', 'drinks': 'VERB', 'coffee': 'NOUN', 'every': 'DET', 'morning': 'NOUN', '.': '.'}"
The flowers are blooming in the spring.,"{'The': 'DET', 'flowers': 'NOUN', 'are': 'VERB', 'blooming': 'VERB', 'in': 'ADP', 'the': 'DET', 'spring': 'NOUN', '.': '.'}"
The sun is shining brightly today.,"{'The': 'DET', 'sun': 'NOUN', 'is': 'VERB', 'shining': 'VERB', 'brightly': 'ADV', 'today': 'NOUN', '.': '.'}"
"The couple enjoyed a quiet evening by the fireplace, sipping hot chocolate and listening to the crackling fire.","{'The': 'DET', 'couple': 'NOUN', 'enjoyed': 'VERB', 'a': 'DET', 'quiet': 'ADJ', 'evening': 'NOUN', 'by': 'ADP', 'the': 'DET', 'fireplace': 'NOUN', ',': '.', 'sipping': 'VERB', 'hot': 'ADJ', 'chocolate': 'NOUN', 'and': 'CONJ', 'listening': 'VERB', 'to': 'ADP', 'crackling': 'ADJ', 'fire': 'NOUN', '.': '.'}"
He reads a book before bed.,"{'He': 'PRON', 'reads': 'VERB', 'a': 'DET', 'book': 'NOUN', 'before': 'ADP', 'bed': 'NOUN', '.': '.'}"
"She enjoyed baking cookies for her neighbors, always sharing the extra treats she made.","{'She': 'PRON', 'enjoyed': 'VERB', 'baking': 'VERB', 'cookies': 'NOUN', 'for': 'ADP', 'her': 'PRON', 'neighbors': 'NOUN', ',': '.', 'always': 'ADV', 'sharing': 'VERB', 'the': 'DET', 'extra': 'ADJ', 'treats': 'NOUN', 'she': 'PRON', 'made': 'VERB', '.': '.'}"
The dog barked at the mailman.,"{'The': 'DET', 'dog': 'NOUN', 'barked': 'VERB', 'at': 'ADP', 'the': 'DET', 'mailman': 'NOUN', '.': '.'}"
They are studying for the exam.,"{'They': 'PRON', 'are': 'VERB', 'studying': 'VERB', 'for': 'ADP', 'the': 'DET', 'exam': 'NOUN', '.': '.'}"
The bird built a nest in the tree.,"{'The': 'DET', 'bird': 'NOUN', 'built': 'VERB', 'a': 'DET', 'nest': 'NOUN', 'in': 'ADP', 'the': 'DET', 'tree': 'NOUN', '.': '.'}"
He fixed the broken chair.,"{'He': 'PRON', 'fixed': 'VERB', 'the': 'DET', 'broken': 'ADJ', 'chair': 'NOUN', '.': '.'}"
He is repairing the old bicycle.,"{'He': 'PRON', 'is': 'VERB', 'repairing': 'VERB', 'the': 'DET', 'old': 'ADJ', 'bicycle': 'NOUN', '.': '.'}"
The boat is floating on the lake.,"{'The': 'DET', 'boat': 'NOUN', 'is': 'VERB', 'floating': 'VERB', 'on': 'ADP', 'the': 'DET', 'lake': 'NOUN', '.': '.'}"
"He was pleasantly surprised when his friends threw him a surprise birthday party, complete with cake and decorations.","{'He': 'PRON', 'was': 'VERB', 'pleasantly': 'ADV', 'surprised': 'ADJ', 'when': 'ADV', 'his': 'PRON', 'friends': 'NOUN', 'threw': 'VERB', 'him': 'PRON', 'a': 'DET', 'surprise': 'ADJ', 'birthday': 'ADJ', 'party': 'NOUN', ',': '.', 'complete': 'ADJ', 'with': 'ADP', 'cake': 'NOUN', 'and': 'CONJ', 'decorations': 'NOUN', '.': '.'}"
She planted flowers in the garden.,"{'She': 'PRON', 'planted': 'VERB', 'flowers': 'NOUN', 'in': 'ADP', 'the': 'DET', 'garden': 'NOUN', '.': '.'}"
The little girl was excited to show her parents the picture she had drawn at school.,"{'The': 'DET', 'little': 'ADJ', 'girl': 'NOUN', 'was': 'VERB', 'excited': 'ADJ', 'to': 'ADP', 'show': 'VERB', 'her': 'PRON', 'parents': 'NOUN', 'the': 'DET', 'picture': 'NOUN', 'she': 'PRON', 'had': 'VERB', 'drawn': 'VERB', 'at': 'ADP', 'school': 'NOUN', '.': '.'}"
The kids are building a sandcastle.,"{'The': 'DET', 'kids': 'NOUN', 'are': 'VERB', 'building': 'VERB', 'a': 'DET', 'sandcastle': 'NOUN', '.': '.'}"
"The family enjoyed gathering around the fireplace in the winter, sipping hot cocoa and telling stories.","{'The': 'DET', 'family': 'NOUN', 'enjoyed': 'VERB', 'gathering': 'VERB', 'around': 'ADP', 'the': 'DET', 'fireplace': 'NOUN', 'in': 'ADP', 'winter': 'NOUN', ',': '.', 'sipping': 'VERB', 'hot': 'ADJ', 'cocoa': 'NOUN', 'and': 'CONJ', 'telling': 'VERB', 'stories': 'NOUN', '.': '.'}"
"He enjoyed working on his garden, always looking for new plants to add and experimenting with different layouts.","{'He': 'PRON', 'enjoyed': 'VERB', 'working': 'VERB', 'on': 'ADP', 'his': 'PRON', 'garden': 'NOUN', ',': '.', 'always': 'ADV', 'looking': 'VERB', 'for': 'ADP', 'new': 'ADJ', 'plants': 'NOUN', 'to': 'ADP', 'add': 'VERB', 'and': 'CONJ', 'experimenting': 'VERB', 'with': 'ADP', 'different': 'ADJ', 'layouts': 'NOUN', '.': '.'}"
"The little boy loved helping his mom in the kitchen, always eager to learn how to make new recipes.","{'The': 'DET', 'little': 'ADJ', 'boy': 'NOUN', 'loved': 'VERB', 'helping': 'VERB', 'his': 'PRON', 'mom': 'NOUN', 'in': 'ADP', 'the': 'DET', 'kitchen': 'NOUN', ',': '.', 'always': 'ADV', 'eager': 'ADJ', 'to': 'ADP', 'learn': 'VERB', 'how': 'ADV', 'make': 'VERB', 'new': 'ADJ', 'recipes': 'NOUN', '.': '.'}"
The book is on the shelf.,"{'The': 'DET', 'book': 'NOUN', 'is': 'VERB', 'on': 'ADP', 'the': 'DET', 'shelf': 'NOUN', '.': '.'}"
He listens to music while working.,"{'He': 'PRON', 'listens': 'VERB', 'to': 'ADP', 'music': 'NOUN', 'while': 'ADP', 'working': 'VERB', '.': '.'}"
She is baking cookies in the oven.,"{'She': 'PRON', 'is': 'VERB', 'baking': 'VERB', 'cookies': 'NOUN', 'in': 'ADP', 'the': 'DET', 'oven': 'NOUN', '.': '.'}"
The car stopped at the red light.,"{'The': 'DET', 'car': 'NOUN', 'stopped': 'VERB', 'at': 'ADP', 'the': 'DET', 'red': 'ADJ', 'light': 'NOUN', '.': '.'}"
The cat chased the mouse.,"{'The': 'DET', 'cat': 'NOUN', 'chased': 'VERB', 'the': 'DET', 'mouse': 'NOUN', '.': '.'}"
"She spent the entire afternoon organizing her closet, arranging clothes by color and season.","{'She': 'PRON', 'spent': 'VERB', 'the': 'DET', 'entire': 'ADJ', 'afternoon': 'NOUN', 'organizing': 'VERB', 'her': 'PRON', 'closet': 'NOUN', ',': '.', 'arranging': 'VERB', 'clothes': 'NOUN', 'by': 'ADP', 'color': 'NOUN', 'and': 'CONJ', 'season': 'NOUN', '.': '.'}"
He is watching a football game on TV.,"{'He': 'PRON', 'is': 'VERB', 'watching': 'VERB', 'a': 'DET', 'football': 'NOUN', 'game': 'NOUN', 'on': 'ADP', 'TV': 'NOUN', '.': '.'}"
"He decided to take a different route home from the office, hoping to avoid the usual traffic jam.","{'He': 'PRON', 'decided': 'VERB', 'to': 'ADP', 'take': 'VERB', 'a': 'DET', 'different': 'ADJ', 'route': 'NOUN', 'home': 'NOUN', 'from': 'ADP', 'the': 'DET', 'office': 'NOUN', ',': '.', 'hoping': 'VERB', 'avoid': 'VERB', 'usual': 'ADJ', 'traffic': 'NOUN', 'jam': 'NOUN', '.': '.'}"
The music played softly in the background.,"{'The': 'DET', 'music': 'NOUN', 'played': 'VERB', 'softly': 'ADV', 'in': 'ADP', 'the': 'DET', 'background': 'NOUN', '.': '.'}"
She carefully wrapped the gift in shiny paper and tied it with a bright red ribbon.,"{'She': 'PRON', 'carefully': 'ADV', 'wrapped': 'VERB', 'the': 'DET', 'gift': 'NOUN', 'in': 'ADP', 'shiny': 'ADJ', 'paper': 'NOUN', 'and': 'CONJ', 'tied': 'VERB', 'it': 'PRON', 'with': 'ADP', 'a': 'DET', 'bright': 'ADJ', 'red': 'ADJ', 'ribbon': 'NOUN', '.': '.'}"
He enjoys building model airplanes in his free time.,"{'He': 'PRON', 'enjoys': 'VERB', 'building': 'VERB', 'model': 'NOUN', 'airplanes': 'NOUN', 'in': 'ADP', 'his': 'PRON', 'free': 'ADJ', 'time': 'NOUN', '.': '.'}"
The chef carefully selected the freshest ingredients from the market to prepare a special dinner for his guests.,"{'The': 'DET', 'chef': 'NOUN', 'carefully': 'ADV', 'selected': 'VERB', 'the': 'DET', 'freshest': 'ADJ', 'ingredients': 'NOUN', 'from': 'ADP', 'market': 'NOUN', 'to': 'ADP', 'prepare': 'VERB', 'a': 'DET', 'special': 'ADJ', 'dinner': 'NOUN', 'for': 'ADP', 'his': 'PRON', 'guests': 'NOUN', '.': '.'}"
"She spent hours in the garden, planting a variety of flowers that would bloom in the spring.","{'She': 'PRON', 'spent': 'VERB', 'hours': 'NOUN', 'in': 'ADP', 'the': 'DET', 'garden': 'NOUN', ',': '.', 'planting': 'VERB', 'a': 'DET', 'variety': 'NOUN', 'of': 'ADP', 'flowers': 'NOUN', 'that': 'PRON', 'would': 'VERB', 'bloom': 'VERB', 'spring': 'NOUN', '.': '.'}"
"The dog wagged its tail excitedly as its owner approached with a leash, ready for their daily walk.","{'The': 'DET', 'dog': 'NOUN', 'wagged': 'VERB', 'its': 'PRON', 'tail': 'NOUN', 'excitedly': 'ADV', 'as': 'ADP', 'owner': 'NOUN', 'approached': 'VERB', 'with': 'ADP', 'a': 'DET', 'leash': 'NOUN', ',': '.', 'ready': 'ADJ', 'for': 'ADP', 'their': 'PRON', 'daily': 'ADJ', 'walk': 'NOUN', '.': '.'}"
He is watching a football game on TV.,"{'He': 'PRON', 'is': 'VERB', 'watching': 'VERB', 'a': 'DET', 'football': 'NOUN', 'game': 'NOUN', 'on': 'ADP', 'TV': 'NOUN', '.': '.'}"
The cat is sleeping on the couch.,"{'The': 'DET', 'cat': 'NOUN', 'is': 'VERB', 'sleeping': 'VERB', 'on': 'ADP', 'the': 'DET', 'couch': 'NOUN', '.': '.'}"
The plane is flying in the sky.,"{'The': 'DET', 'plane': 'NOUN', 'is': 'VERB', 'flying': 'VERB', 'in': 'ADP', 'the': 'DET', 'sky': 'NOUN', '.': '.'}"
The kids are playing with their toys.,"{'The': 'DET', 'kids': 'NOUN', 'are': 'VERB', 'playing': 'VERB', 'with': 'ADP', 'their': 'PRON', 'toys': 'NOUN', '.': '.'}"
She is writing in her journal.,"{'She': 'PRON', 'is': 'VERB', 'writing': 'VERB', 'in': 'ADP', 'her': 'PRON', 'journal': 'NOUN', '.': '.'}"
"The cat watched the birds outside the window, twitching its tail in anticipation of a possible chase.","{'The': 'DET', 'cat': 'NOUN', 'watched': 'VERB', 'the': 'DET', 'birds': 'NOUN', 'outside': 'ADP', 'window': 'NOUN', ',': '.', 'twitching': 'VERB', 'its': 'PRON', 'tail': 'NOUN', 'in': 'ADP', 'anticipation': 'NOUN', 'of': 'ADP', 'a': 'DET', 'possible': 'ADJ', 'chase': 'NOUN', '.': '.'}"
The sun sets behind the hills.,"{'The': 'DET', 'sun': 'NOUN', 'sets': 'VERB', 'behind': 'ADP', 'the': 'DET', 'hills': 'NOUN', '.': '.'}"
"He stayed up late studying for his math exam, determined to improve his grade this semester.","{'He': 'PRON', 'stayed': 'VERB', 'up': 'PRT', 'late': 'ADJ', 'studying': 'VERB', 'for': 'ADP', 'his': 'PRON', 'math': 'ADJ', 'exam': 'NOUN', ',': '.', 'determined': 'ADJ', 'to': 'ADP', 'improve': 'VERB', 'grade': 'NOUN', 'this': 'DET', 'semester': 'NOUN', '.': '.'}"
The cat purred softly.,"{'The': 'DET', 'cat': 'NOUN', 'purred': 'VERB', 'softly': 'ADV', '.': '.'}"
She loves reading mystery novels on rainy afternoons.,"{'She': 'PRON', 'loves': 'VERB', 'reading': 'VERB', 'mystery': 'ADJ', 'novels': 'NOUN', 'on': 'ADP', 'rainy': 'ADJ', 'afternoons': 'NOUN', '.': '.'}"
They quickly packed their bags and headed to the airport.,"{'They': 'PRON', 'quickly': 'ADV', 'packed': 'VERB', 'their': 'PRON', 'bags': 'NOUN', 'and': 'CONJ', 'headed': 'VERB', 'to': 'ADP', 'the': 'DET', 'airport': 'NOUN', '.': '.'}"
The tree outside my window has grown significantly over the years.,"{'The': 'DET', 'tree': 'NOUN', 'outside': 'ADP', 'my': 'PRON', 'window': 'NOUN', 'has': 'VERB', 'grown': 'VERB', 'significantly': 'ADV', 'over': 'ADP', 'the': 'DET', 'years': 'NOUN', '.': '.'}"
The children were laughing and playing in the park.,"{'The': 'DET', 'children': 'NOUN', 'were': 'VERB', 'laughing': 'VERB', 'and': 'CONJ', 'playing': 'VERB', 'in': 'ADP', 'the': 'DET', 'park': 'NOUN', '.': '.'}"
"He forgot to bring his umbrella, so he got soaked in the rain.","{'He': 'PRON', 'forgot': 'VERB', 'to': 'ADP', 'bring': 'VERB', 'his': 'PRON', 'umbrella': 'NOUN', ',': '.', 'so': 'CONJ', 'he': 'PRON', 'got': 'VERB', 'soaked': 'VERB', 'in': 'ADP', 'the': 'DET', 'rain': 'NOUN', '.': '.'}"
She baked a cake for her friend's birthday.,"{'She': 'PRON', 'baked': 'VERB', 'a': 'DET', 'cake': 'NOUN', 'for': 'ADP', 'her': 'PRON', 'friend': 'NOUN', ""'s"": 'PRT', 'birthday': 'NOUN', '.': '.'}"
"The old man sat quietly by the river, lost in thought.","{'The': 'DET', 'old': 'ADJ', 'man': 'NOUN', 'sat': 'VERB', 'quietly': 'ADV', 'by': 'ADP', 'the': 'DET', 'river': 'NOUN', ',': '.', 'lost': 'ADJ', 'in': 'ADP', 'thought': 'NOUN', '.': '.'}"
The sky turned orange as the sun set over the horizon.,"{'The': 'DET', 'sky': 'NOUN', 'turned': 'VERB', 'orange': 'ADJ', 'as': 'ADP', 'the': 'DET', 'sun': 'NOUN', 'set': 'VERB', 'over': 'ADP', 'horizon': 'NOUN', '.': '.'}"
They enjoyed a quiet dinner together.,"{'They': 'PRON', 'enjoyed': 'VERB', 'a': 'DET', 'quiet': 'ADJ', 'dinner': 'NOUN', 'together': 'ADV', '.': '.'}"
The dog chased the ball across the yard.,"{'The': 'DET', 'dog': 'NOUN', 'chased': 'VERB', 'the': 'DET', 'ball': 'NOUN', 'across': 'ADP', 'yard': 'NOUN', '.': '.'}"
She spends hours painting in her studio every weekend.,"{'She': 'PRON', 'spends': 'VERB', 'hours': 'NOUN', 'painting': 'VERB', 'in': 'ADP', 'her': 'PRON', 'studio': 'NOUN', 'every': 'DET', 'weekend': 'NOUN', '.': '.'}"
He was surprised to find an old letter from his grandmother.,"{'He': 'PRON', 'was': 'VERB', 'surprised': 'ADJ', 'to': 'ADP', 'find': 'VERB', 'an': 'DET', 'old': 'ADJ', 'letter': 'NOUN', 'from': 'ADP', 'his': 'PRON', 'grandmother': 'NOUN', '.': '.'}"
The phone rang just as she was about to leave the house.,"{'The': 'DET', 'phone': 'NOUN', 'rang': 'VERB', 'just': 'ADV', 'as': 'ADP', 'she': 'PRON', 'was': 'VERB', 'about': 'ADV', 'to': 'ADP', 'leave': 'VERB', 'the': 'DET', 'house': 'NOUN', '.': '.'}"
The teacher explained the concept clearly to the students.,"{'The': 'DET', 'teacher': 'NOUN', 'explained': 'VERB', 'the': 'DET', 'concept': 'NOUN', 'clearly': 'ADV', 'to': 'ADP', 'students': 'NOUN', '.': '.'}"
He found a wallet on the street and returned it to its owner.,"{'He': 'PRON', 'found': 'VERB', 'a': 'DET', 'wallet': 'NOUN', 'on': 'ADP', 'the': 'DET', 'street': 'NOUN', 'and': 'CONJ', 'returned': 'VERB', 'it': 'PRON', 'to': 'ADP', 'its': 'PRON', 'owner': 'NOUN', '.': '.'}"
The wind howled through the trees during the storm.,"{'The': 'DET', 'wind': 'NOUN', 'howled': 'VERB', 'through': 'ADP', 'the': 'DET', 'trees': 'NOUN', 'during': 'ADP', 'storm': 'NOUN', '.': '.'}"
She carefully folded the letter and placed it in the drawer.,"{'She': 'PRON', 'carefully': 'ADV', 'folded': 'VERB', 'the': 'DET', 'letter': 'NOUN', 'and': 'CONJ', 'placed': 'VERB', 'it': 'PRON', 'in': 'ADP', 'drawer': 'NOUN', '.': '.'}"
The little boy was afraid of the dark.,"{'The': 'DET', 'little': 'ADJ', 'boy': 'NOUN', 'was': 'VERB', 'afraid': 'ADJ', 'of': 'ADP', 'the': 'DET', 'dark': 'NOUN', '.': '.'}"
"They walked hand in hand along the beach, the waves gently lapping at their feet.","{'They': 'PRON', 'walked': 'VERB', 'hand': 'NOUN', 'in': 'ADP', 'along': 'ADP', 'the': 'DET', 'beach': 'NOUN', ',': '.', 'waves': 'NOUN', 'gently': 'ADV', 'lapping': 'VERB', 'at': 'ADP', 'their': 'PRON', 'feet': 'NOUN', '.': '.'}"
The train arrived at the station on time.,"{'The': 'DET', 'train': 'NOUN', 'arrived': 'VERB', 'at': 'ADP', 'the': 'DET', 'station': 'NOUN', 'on': 'ADP', 'time': 'NOUN', '.': '.'}"
He is learning to play the guitar.,"{'He': 'PRON', 'is': 'VERB', 'learning': 'VERB', 'to': 'ADP', 'play': 'VERB', 'the': 'DET', 'guitar': 'NOUN', '.': '.'}"
The artist spent hours perfecting the details of his painting.,"{'The': 'DET', 'artist': 'NOUN', 'spent': 'VERB', 'hours': 'NOUN', 'perfecting': 'VERB', 'the': 'DET', 'details': 'NOUN', 'of': 'ADP', 'his': 'PRON', 'painting': 'NOUN', '.': '.'}"
She smiled as she watched the sunset.,"{'She': 'PRON', 'smiled': 'VERB', 'as': 'ADP', 'she': 'PRON', 'watched': 'VERB', 'the': 'DET', 'sunset': 'NOUN', '.': '.'}"
The car broke down on the way to work.,"{'The': 'DET', 'car': 'NOUN', 'broke': 'VERB', 'down': 'PRT', 'on': 'ADP', 'the': 'DET', 'way': 'NOUN', 'to': 'ADP', 'work': 'NOUN', '.': '.'}"
They danced under the stars at the wedding reception.,"{'They': 'PRON', 'danced': 'VERB', 'under': 'ADP', 'the': 'DET', 'stars': 'NOUN', 'at': 'ADP', 'wedding': 'NOUN', 'reception': 'NOUN', '.': '.'}"
"The library was quiet, filled with the soft rustling of pages.","{'The': 'DET', 'library': 'NOUN', 'was': 'VERB', 'quiet': 'ADJ', ',': '.', 'filled': 'VERB', 'with': 'ADP', 'the': 'DET', 'soft': 'ADJ', 'rustling': 'NOUN', 'of': 'ADP', 'pages': 'NOUN', '.': '.'}"
The baby giggled when the dog licked her face.,"{'The': 'DET', 'baby': 'NOUN', 'giggled': 'VERB', 'when': 'ADP', 'the': 'DET', 'dog': 'NOUN', 'licked': 'VERB', 'her': 'PRON', 'face': 'NOUN', '.': '.'}"
He missed the bus and had to walk home.,"{'He': 'PRON', 'missed': 'VERB', 'the': 'DET', 'bus': 'NOUN', 'and': 'CONJ', 'had': 'VERB', 'to': 'ADP', 'walk': 'VERB', 'home': 'NOUN', '.': '.'}"
The flowers in the garden are blooming beautifully.,"{'The': 'DET', 'flowers': 'NOUN', 'in': 'ADP', 'the': 'DET', 'garden': 'NOUN', 'are': 'VERB', 'blooming': 'VERB', 'beautifully': 'ADV', '.': '.'}"
She hummed a tune as she worked in the kitchen.,"{'She': 'PRON', 'hummed': 'VERB', 'a': 'DET', 'tune': 'NOUN', 'as': 'ADP', 'she': 'PRON', 'worked': 'VERB', 'in': 'ADP', 'the': 'DET', 'kitchen': 'NOUN', '.': '.'}"
The stars twinkled brightly in the night sky.,"{'The': 'DET', 'stars': 'NOUN', 'twinkled': 'VERB', 'brightly': 'ADV', 'in': 'ADP', 'the': 'DET', 'night': 'NOUN', 'sky': 'NOUN', '.': '.'}"
She always carries a notebook to jot down ideas.,"{'She': 'PRON', 'always': 'ADV', 'carries': 'VERB', 'a': 'DET', 'notebook': 'NOUN', 'to': 'ADP', 'jot': 'VERB', 'down': 'PRT', 'ideas': 'NOUN', '.': '.'}"
The meeting lasted longer than expected.,"{'The': 'DET', 'meeting': 'NOUN', 'lasted': 'VERB', 'longer': 'ADJ', 'than': 'ADP', 'expected': 'VERB', '.': '.'}"
He dreamed of becoming a pilot one day.,"{'He': 'PRON', 'dreamed': 'VERB', 'of': 'ADP', 'becoming': 'VERB', 'a': 'DET', 'pilot': 'NOUN', 'one': 'NUM', 'day': 'NOUN', '.': '.'}"
The book was so interesting that she couldn't put it down.,"{'The': 'DET', 'book': 'NOUN', 'was': 'VERB', 'so': 'ADV', 'interesting': 'ADJ', 'that': 'ADP', 'she': 'PRON', 'could': 'VERB', ""n't"": 'ADV', 'put': 'VERB', 'it': 'PRON', 'down': 'PRT', '.': '.'}"
The wind gently swayed the branches of the trees.,"{'The': 'DET', 'wind': 'NOUN', 'gently': 'ADV', 'swayed': 'VERB', 'the': 'DET', 'branches': 'NOUN', 'of': 'ADP', 'trees': 'NOUN', '.': '.'}"
I am a girl.,"{'I': 'PRON', 'am': 'VERB', 'a': 'DET', 'girl': 'NOUN', '.': '.'}"
